iter	Passed	Remaining
0	2	2299
1	4	2447
2	6	2298
3	9	2254
4	11	2293
5	14	2439
6	17	2429
7	18	2342
8	20	2254
9	22	2242
10	24	2192
11	26	2221
12	29	2244
13	31	2205
14	33	2172
15	35	2155
16	37	2169
17	39	2144
18	41	2159
19	43	2143
20	45	2110
21	46	2081
22	48	2059
23	50	2073
24	53	2101
25	56	2097
26	58	2101
27	60	2106
28	62	2082
29	64	2077
30	66	2069
31	69	2094
32	72	2116
33	73	2096
34	75	2084
35	77	2069
36	79	2056
37	80	2039
38	82	2029
39	83	2015
40	86	2034
41	89	2037
42	91	2046
43	94	2045
44	96	2050
45	99	2061
46	101	2051
47	103	2043
48	104	2035
49	106	2026
50	108	2014
51	109	2002
52	111	1991
53	113	1983
54	115	1980
55	117	1980
56	118	1961
57	121	1978
58	124	1986
59	126	1987
60	128	1983
61	130	1973
62	132	1963
63	133	1953
64	135	1948
65	137	1941
66	138	1932
67	140	1923
68	141	1914
69	143	1909
70	145	1905
71	147	1906
72	150	1916
73	153	1914
74	154	1904
75	157	1912
76	159	1910
77	161	1912
78	164	1915
79	166	1918
80	170	1930
81	172	1926
82	175	1938
83	177	1930
84	179	1932
85	182	1934
86	184	1936
87	185	1927
88	187	1917
89	188	1908
90	190	1899
91	191	1890
92	193	1882
93	194	1874
94	195	1865
95	197	1858
96	200	1863
97	248	2285
98	249	2274
99	251	2265
100	253	2255
101	254	2244
102	256	2234
103	258	2225
104	259	2214
105	261	2206
106	263	2197
107	265	2189
108	266	2181
109	268	2171
110	269	2161
111	271	2151
112	273	2148
113	276	2146
114	277	2138
115	279	2128
116	281	2123
117	283	2120
118	286	2118
119	288	2117
120	290	2112
121	292	2104
122	294	2097
123	297	2100
124	300	2100
125	303	2102
126	304	2096
127	306	2090
128	308	2084
129	312	2089
130	315	2090
131	361	2378
132	363	2369
133	365	2359
134	366	2348
135	369	2344
136	371	2342
137	374	2339
138	376	2330
139	379	2328
140	381	2325
141	384	2325
142	395	2367
143	398	2371
144	403	2377
145	407	2383
146	410	2381
147	412	2375
148	414	2368
149	416	2360
150	419	2356
151	421	2351
152	424	2351
153	426	2344
154	428	2338
155	431	2335
156	433	2326
157	434	2317
158	436	2307
159	437	2299
160	439	2290
161	441	2282
162	442	2273
163	444	2266
164	447	2265
165	449	2256
166	451	2249
167	452	2241
168	454	2234
169	456	2229
170	459	2226
171	461	2222
172	463	2217
173	466	2213
174	467	2204
175	469	2199
176	471	2192
177	473	2186
178	475	2182
179	477	2175
180	479	2168
181	480	2161
182	482	2153
183	483	2145
184	485	2138
185	487	2132
186	489	2129
187	491	2123
188	493	2119
189	495	2113
190	497	2107
191	499	2100
192	501	2095
193	502	2089
194	504	2082
195	505	2075
196	508	2072
197	510	2066
198	511	2060
199	513	2053
200	514	2046
201	516	2040
202	519	2040
203	522	2038
204	524	2035
205	527	2032
206	529	2029
207	534	2035
208	541	2050
209	547	2059
210	550	2059
211	555	2063
212	558	2062
213	560	2058
214	563	2056
215	566	2056
216	568	2052
217	572	2052
218	574	2047
219	576	2043
220	578	2039
221	580	2032
222	581	2026
223	583	2021
224	585	2015
225	587	2011
226	588	2005
227	590	1999
228	592	1993
229	593	1988
230	596	1984
231	598	1982
232	600	1978
233	602	1972
234	604	1967
235	606	1962
236	608	1960
237	610	1954
238	611	1948
239	614	1945
240	616	1940
241	617	1934
242	620	1931
243	621	1925
244	623	1922
245	626	1919
246	627	1913
247	629	1910
248	631	1905
249	633	1899
250	634	1894
251	636	1889
252	639	1888
253	641	1884
254	643	1879
255	646	1878
256	648	1874
257	649	1869
258	652	1866
259	655	1865
260	657	1862
261	659	1857
262	661	1853
263	662	1848
264	664	1843
265	667	1841
266	671	1843
267	674	1841
268	677	1841
269	679	1836
270	681	1832
271	683	1828
272	686	1828
273	688	1825
274	691	1822
275	693	1820
276	696	1817
277	699	1816
278	706	1826
279	711	1828
280	715	1830
281	718	1829
282	721	1827
283	725	1828
284	727	1825
285	730	1824
286	739	1836
287	747	1848
288	757	1863
289	763	1868
290	767	1869
291	799	1937
292	801	1934
293	804	1932
294	807	1928
295	809	1924
296	813	1925
297	864	2036
298	866	2031
299	868	2026
300	870	2020
301	871	2014
302	873	2010
303	878	2011
304	880	2007
305	882	2001
306	884	1996
307	886	1992
308	888	1986
309	890	1982
310	892	1977
311	894	1971
312	895	1966
313	897	1960
314	898	1954
315	900	1949
316	901	1943
317	903	1937
318	905	1932
319	907	1927
320	909	1922
321	910	1917
322	912	1912
