iter	RMSE
0	684.2120305
1	672.594266
2	661.8408696
3	650.7669537
4	639.4579858
5	629.1134784
6	619.3672862
7	609.2633623
8	599.2455597
9	589.8741817
10	580.3438126
11	572.1266827
12	563.5680618
13	555.3451797
14	547.4822144
15	539.643234
16	532.5126046
17	525.098374
18	517.8573335
19	511.6115137
20	505.3381277
21	498.957836
22	492.7504752
23	486.6045599
24	480.8498664
25	475.7014814
26	470.6565433
27	465.0769444
28	460.1733931
29	455.6557263
30	451.0197111
31	445.7824087
32	441.607777
33	436.7386994
34	432.7055611
35	428.9460274
36	424.6641525
37	420.8213772
38	417.1210686
39	413.9066849
40	410.3003514
41	406.8618588
42	403.1529539
43	399.9825327
44	397.0624492
45	393.9955878
46	390.696218
47	388.0769991
48	385.0028644
49	382.240598
50	379.1244891
51	376.8296308
52	373.9157842
53	371.734382
54	369.2649944
55	367.2525543
56	365.7693408
57	363.4092071
58	360.7922111
59	358.4878662
60	356.4534891
61	354.5061858
62	352.557475
63	350.585502
64	348.5286614
65	346.1246031
66	344.3858761
67	342.3927571
68	340.6668248
69	338.8949853
70	337.3229946
71	335.6977489
72	334.1933661
73	332.6447514
74	331.6134177
75	330.1086829
76	328.6406506
77	327.1676329
78	325.6917516
79	324.3575654
80	323.374092
81	322.1524757
82	320.9043068
83	319.7920695
84	318.5467374
85	317.6164978
86	316.6378166
87	315.3065469
88	314.2310238
89	313.0306486
90	311.9708976
91	310.6918397
92	309.8210338
93	308.7780294
94	307.7152334
95	306.6328751
96	305.6774831
97	304.9089687
98	304.0571494
99	303.1700359
100	302.3852671
101	301.4636101
102	300.5389481
103	299.6831234
104	298.7966554
105	298.1953498
106	297.4334281
107	296.4912626
108	295.6291464
109	294.8669908
110	294.1940397
111	293.2302591
112	292.3712044
113	291.7185004
114	290.9837053
115	290.5578979
116	289.9464418
117	289.3252016
118	288.612715
119	287.516752
120	286.6914735
121	286.0275664
122	285.3728815
123	284.8299664
124	284.3866816
125	283.8276577
126	283.2153757
127	282.6516004
128	282.0400865
129	281.4382161
130	281.0595518
131	280.4777139
132	279.9972169
133	279.431489
134	278.8539867
135	278.2648192
136	277.59298
137	277.0748451
138	276.4456035
139	276.064597
140	275.7649912
141	275.2414755
142	274.8119637
143	274.2565654
144	273.7658804
145	273.2787485
146	272.8140087
147	272.4291557
148	271.9091672
149	271.5207741
150	271.0225496
151	270.6361867
152	269.762895
153	269.2850458
154	268.5543295
155	268.0544677
156	267.3489162
157	266.9579854
158	266.5662995
159	266.227218
160	265.7224217
161	264.9471014
162	264.4758354
163	263.9716411
164	263.4308313
165	262.9100004
166	262.4868552
167	262.0596809
168	261.6791016
169	261.3252433
170	260.8039161
171	260.4282263
172	260.1062341
173	259.6773644
174	259.2648036
175	258.9043075
176	258.5909221
177	258.2846947
178	257.9642359
179	257.570544
180	257.2610465
181	256.8819791
182	256.302849
183	255.9895352
184	255.7515557
185	255.2045186
186	254.7673867
187	254.4393732
188	253.9450686
189	253.6536471
190	253.3574906
191	252.9674883
192	252.5579072
193	252.1758263
194	251.7386746
195	251.3224807
196	250.7661677
197	250.4741898
198	250.1960956
199	249.750049
200	249.4519154
201	249.1335483
202	248.8110158
203	248.6006
204	248.1960463
205	247.8473884
206	247.5052429
207	247.0851341
208	246.757354
209	246.3741176
210	246.0096489
211	245.7408296
212	245.4418478
213	245.1504325
214	244.9972047
215	244.7625718
216	244.4238529
217	244.1237829
218	243.8786461
219	243.6306559
220	243.3931737
221	243.172963
222	242.8750572
223	242.647541
224	242.2050718
225	241.7279854
226	241.4083952
227	241.1727699
228	240.7577818
229	240.5672385
230	240.3964987
231	240.1823694
232	239.9011595
233	239.6262939
234	239.3910325
235	239.1663783
236	238.9301677
237	238.624402
238	238.4305575
239	238.1308868
240	237.7322442
241	237.4772776
242	237.2369467
243	236.8895466
244	236.41089
245	236.1406779
246	235.9233518
247	235.7773582
248	235.5275783
249	235.1425315
250	234.888302
251	234.586672
252	234.3488114
253	234.1492913
254	233.794379
255	233.4082909
256	233.1784139
257	232.9090661
258	232.7452522
259	232.5580695
260	232.1593379
261	231.9462983
262	231.5647321
263	231.3074041
264	231.0697517
265	230.793439
266	230.4678358
267	230.2783241
268	230.0104918
269	229.8499477
270	229.7419577
271	229.5199762
272	229.3497021
273	228.9912244
274	228.7077544
275	228.4417877
276	228.2079764
277	228.0364592
278	227.8957613
279	227.5483856
280	227.2588161
281	226.8780715
282	226.6139709
283	226.3222279
284	226.1529392
285	226.075317
286	225.7008468
287	225.5686158
288	225.298271
289	225.1842363
290	224.7805344
291	224.5308618
292	224.2958945
293	223.9287068
294	223.6555177
295	223.6045707
296	223.4610171
297	223.3799379
298	223.098977
299	222.9100932
300	222.8119835
301	222.4347828
302	222.0608205
303	221.7697741
304	221.4752426
305	221.355294
306	221.2240716
307	220.8568383
308	220.6430873
309	220.4116457
310	220.161248
311	219.9488141
312	219.5531145
313	219.4523543
314	219.2637439
315	219.1171904
316	218.771581
317	218.6524862
318	218.3936691
319	218.2475573
320	218.1484876
321	218.0166567
322	217.8256939
323	217.629716
324	217.5085582
325	217.2325109
326	217.0968725
327	217.057967
328	216.8170952
329	216.4885239
330	216.4729039
331	216.1685264
332	215.8867542
333	215.7781135
334	215.6258501
335	215.4265593
336	215.1724519
337	214.9663038
338	214.7584339
339	214.3879501
340	214.0652265
341	213.8001446
342	213.7511342
343	213.6789926
344	213.6446075
345	213.4440528
346	213.2955352
347	212.7743145
348	212.401638
349	212.2330756
350	212.0424606
351	211.8616846
352	211.7316063
353	211.699048
354	211.657093
355	211.5084479
356	211.3102641
357	211.2858665
358	211.0572235
359	210.9273029
360	210.6302211
361	210.3666866
362	210.1596129
363	209.7779799
364	209.6338614
365	209.4749524
366	209.276633
367	209.1536912
368	208.8741254
369	208.5484763
370	208.2410649
371	207.8374188
372	207.649062
373	207.3128226
374	207.2678879
375	207.1890214
376	206.9853679
377	206.7776185
378	206.5598906
379	206.3015557
380	206.2793771
381	206.0151417
382	205.7911839
383	205.4378749
384	205.1913607
385	205.046289
386	205.0031824
387	204.8546464
388	204.6021675
389	204.306225
390	204.2841981
391	204.2588105
392	203.9358663
393	203.7902534
394	203.6093156
395	203.3973921
396	203.1404375
397	202.6934094
398	202.4711909
399	202.2747349
400	202.1700275
401	201.8407887
402	201.688961
403	201.3908124
404	201.217604
405	200.9604308
406	200.7681795
407	200.5624097
408	200.3354801
409	200.1750597
410	200.1423519
411	199.8715113
412	199.5099513
413	199.275421
414	199.1328758
415	198.9757284
416	198.7993191
417	198.5942758
418	198.4430812
419	198.309765
420	198.1599588
421	198.1266284
422	197.9712568
423	197.7783883
424	197.5251164
425	197.2979558
426	197.0038535
427	196.756605
428	196.5451725
429	196.2571754
430	196.0873934
431	195.8648487
432	195.8464872
433	195.8177024
434	195.6463042
435	195.475729
436	195.315771
437	195.1417717
438	194.9605273
439	194.8154107
440	194.6974302
441	194.4995633
442	194.3494405
443	194.3186843
444	194.0989794
445	193.7283925
446	193.7077404
447	193.5062896
448	193.2991518
449	193.2823998
450	193.2633976
451	193.0922734
452	192.7413323
453	192.477891
454	192.3015387
455	192.1087579
456	191.9381057
457	191.8147924
458	191.8012597
459	191.5345022
460	191.4101973
461	191.3763185
462	191.050213
463	190.8881937
464	190.7129566
465	190.5646191
466	190.379731
467	190.3483375
468	190.1186973
469	189.8791393
470	189.698807
471	189.4135631
472	189.1339219
473	188.9472642
474	188.775429
475	188.5574826
476	188.3743559
477	188.1592438
478	188.0107241
479	187.996106
480	187.7751718
481	187.7426278
482	187.5686925
483	187.4971424
484	187.3253774
485	187.3088823
486	187.2852704
487	187.1116844
488	186.8973714
489	186.7790653
490	186.7650025
491	186.7486046
492	186.6121694
493	186.3610421
494	186.2453375
495	186.2327612
496	185.9972852
497	185.8577647
498	185.634365
499	185.3988478
500	185.358602
501	185.2850403
502	185.1638878
503	184.9125032
504	184.7926689
505	184.577521
506	184.5519933
507	184.4856435
508	184.3551248
509	184.157878
510	183.9659534
511	183.7201235
512	183.5062569
513	183.2353083
514	183.0608238
515	183.0302607
516	183.0144658
517	182.7379006
518	182.5780262
519	182.5618233
520	182.4145276
521	182.2451744
522	182.0464077
523	181.8349069
